#lat,long
48.80688,8.942312
48.80684,8.942296
48.80681,8.942282
48.80678,8.94227
48.80675,8.942257
48.80673,8.942247
48.80672,8.942238
48.80672,8.942234
48.80672,8.942234
48.80672,8.942234
48.80669,8.942234
48.80665,8.942225
48.80659,8.942207
48.80654,8.942179
48.80645,8.942152
48.80638,8.942106
48.8063,8.942057
48.8062,8.942
48.80611,8.941935
48.80601,8.941867
48.80578,8.941798
48.80566,8.941669
48.80553,8.941608
48.8054,8.941546
48.80528,8.941482
48.80515,8.941418
48.80502,8.941347
48.80489,8.941271
48.80476,8.941194
48.80462,8.941114
48.80448,8.941033
48.80405,8.940787
48.8039,8.94071
48.80375,8.94064
48.80359,8.940588
48.80342,8.940546
48.8032,8.940512
48.80308,8.940486
48.80291,8.940462
48.8027,8.940437
48.80256,8.940416
48.80238,8.940392
48.8022,8.940367
48.802,8.94034
48.80183,8.940312
48.8016,8.940287
48.80148,8.940264
48.8013,8.94024
48.80113,8.940211
48.80095,8.940186
48.80077,8.940161
48.8006,8.940135
48.80042,8.940108
48.80024,8.940085
48.80007,8.940066
48.79989,8.940044
48.79972,8.940019
48.79954,8.940006
48.79919,8.939979
48.79919,8.939924
48.7988,8.939924
48.7986,8.939862
48.79847,8.939821
48.7982,8.939764
48.7981,8.939697
48.79791,8.939619
48.79773,8.939522
48.7975,8.939407
48.79739,8.939272
48.79724,8.939129
48.79709,8.938966
48.79682,8.938585
48.79669,8.93838
48.79656,8.938163
48.79643,8.93794
48.79589,8.937074
48.79573,8.936885
48.79557,8.936716
48.79539,8.936559
48.79521,8.936406
48.79504,8.936269
48.79487,8.936142
48.7947,8.935999
48.79455,8.935843
48.79439,8.935679
48.79423,8.935506
48.79409,8.935329
48.79395,8.935141
48.79382,8.934935
48.79369,8.934714
48.7935,8.934475
48.7934,8.934226
48.79336,8.933958
48.79314,8.93369
48.79302,8.933141
48.79289,8.932872
48.79276,8.932613
48.79262,8.93236
48.79248,8.932121
48.79233,8.931893
48.79219,8.931673
48.79204,8.931455
48.79189,8.931246
48.79174,8.931047
48.79159,8.930849
48.79144,8.930658
48.79129,8.930472
48.7911,8.93029
48.79098,8.930104
48.79083,8.929917
48.79068,8.929731
48.79053,8.92955
48.79038,8.929369
48.79023,8.929188
48.78958,8.928481
48.7894,8.92833
48.78921,8.92819
48.78901,8.928074
48.78881,8.927971
48.7886,8.927877
48.78838,8.927815
48.78818,8.927766
48.78797,8.92774
48.78776,8.927738
48.78756,8.927757
48.7873,8.927797
48.78717,8.927857
48.78698,8.927932
48.78678,8.928021
48.78659,8.928131
48.78622,8.928252
48.78604,8.928547
48.7858,8.928693
48.78568,8.928835
48.7855,8.928979
48.78533,8.929121
48.78516,8.92925
48.78499,8.929379
48.78482,8.929511
48.78465,8.929644
48.78448,8.929783
48.7843,8.929918
48.7841,8.930053
48.78398,8.930182
48.78382,8.930324
48.78367,8.930467
48.78351,8.93062
48.78335,8.930778
48.78319,8.930914
48.78302,8.931042
48.78285,8.931133
48.78268,8.931206
48.78251,8.93125
48.78234,8.931267
48.78217,8.931265
48.78201,8.931245
48.78185,8.9312
48.7817,8.931126
48.78156,8.931032
48.78143,8.930913
48.78132,8.930778
48.78121,8.930639
48.78111,8.930478
48.78101,8.930307
48.78092,8.930128
48.78083,8.929945
48.78076,8.929752
48.7807,8.929532
48.78064,8.929303
48.78062,8.928833
48.78062,8.928589
